mesh,method,mse,mae
branch.obj,minmax,7.815262558275772e-07,0.0007340000765433482
branch.obj,unit_sphere,2.339403117634809e-06,0.0013248074861238479
cylinder.obj,minmax,7.966258421033582e-07,0.0006109481915933477
cylinder.obj,unit_sphere,2.5735636000765344e-06,0.0013824181634276994
explosive.obj,minmax,1.2419009882300346e-07,0.0002752260753490181
explosive.obj,unit_sphere,4.2777993369504385e-07,0.0005743030206011981
fence.obj,minmax,1.568786888568909e-07,0.00027282402121241915
fence.obj,unit_sphere,3.5749223701523693e-07,0.0004939545467004921
girl.obj,minmax,2.054234073549812e-07,0.00036986858182439295
girl.obj,unit_sphere,3.606065670543075e-07,0.0005222276786544499
person.obj,minmax,7.890193743473484e-07,0.0006917113073488658
person.obj,unit_sphere,1.7873719934919707e-06,0.0011537878852045315
table.obj,minmax,1.4881127939019155e-07,0.0003067378844393455
table.obj,unit_sphere,4.6995121045678146e-07,0.0005989163298246506
talwar.obj,minmax,1.306784403575006e-07,0.00022840366145382383
talwar.obj,unit_sphere,6.020105007326795e-07,0.0006684992256081226
